anime_id,title,genre,aired,episodes,members,popularity,ranked,score
22981,Magicalâ˜…Taruruuto-kun: Moeru! Yuujou no Mahou Taisen,School,Jul 20 1991,1,233,12915,12935,6.43
22983,Hipira-kun ONA,Comedy,Apr 7 2010,2,616,10534,9243,5.72
22983,Hipira-kun ONA,Fantasy,Apr 7 2010,2,616,10534,9243,5.72
22983,Hipira-kun ONA,Kids,Apr 7 2010,2,616,10534,9243,5.72
22983,Hipira-kun ONA,Supernatural,Apr 7 2010,2,616,10534,9243,5.72
22983,Hipira-kun ONA,Vampire,Apr 7 2010,2,616,10534,9243,5.72
22985,Hipira-kun Special,Comedy,Jan 29 2014,1,435,11301,9244,5.72
22985,Hipira-kun Special,Fantasy,Jan 29 2014,1,435,11301,9244,5.72
22985,Hipira-kun Special,Kids,Jan 29 2014,1,435,11301,9244,5.72
22985,Hipira-kun Special,Supernatural,Jan 29 2014,1,435,11301,9244,5.72
22985,Hipira-kun Special,Vampire,Jan 29 2014,1,435,11301,9244,5.72
22991,Obake no Q-Tarou: Susume! 1/100 Daisakusen,Comedy,Mar 14 1987,1,155,14281,13358,6.83
22991,Obake no Q-Tarou: Susume! 1/100 Daisakusen,Kids,Mar 14 1987,1,155,14281,13358,6.83
22991,Obake no Q-Tarou: Susume! 1/100 Daisakusen,School,Mar 14 1987,1,155,14281,13358,6.83
22991,Obake no Q-Tarou: Susume! 1/100 Daisakusen,SliceofLife,Mar 14 1987,1,155,14281,13358,6.83
22991,Obake no Q-Tarou: Susume! 1/100 Daisakusen,Supernatural,Mar 14 1987,1,155,14281,13358,6.83
22993,Obake no Q-Tarou: Tobidase! Bake Bake Daisakusen,Comedy,Mar 15 1986,1,153,14323,13359,6.04
22993,Obake no Q-Tarou: Tobidase! Bake Bake Daisakusen,Kids,Mar 15 1986,1,153,14323,13359,6.04
22993,Obake no Q-Tarou: Tobidase! Bake Bake Daisakusen,School,Mar 15 1986,1,153,14323,13359,6.04
22993,Obake no Q-Tarou: Tobidase! Bake Bake Daisakusen,SliceofLife,Mar 15 1986,1,153,14323,13359,6.04
22995,Shisei Sasshin,SliceofLife,1925,1,132,14666,13875,6.88
22997,Shin Skyers 5,Action,Oct 14 1971 to Mar 3 1972,25,217,13155,13842,6.36
22997,Shin Skyers 5,Sci-Fi,Oct 14 1971 to Mar 3 1972,25,217,13155,13842,6.36
23001,Manga Jinbutsushi,Historical,Aug 1 1970 to Sep 30 1971,365,205,13354,12976,6.21
23003,Tanoshii Bunmeishi: Tetsu Monogatari,Historical,Apr 22 1962,1,201,13400,14137,5.18
23003,Tanoshii Bunmeishi: Tetsu Monogatari,SliceofLife,Apr 22 1962,1,201,13400,14137,5.18
23005,Mogura no Motoro,SliceofLife,Jul 19 1962,1,194,13503,13107,6.9
23007,Ookami Shounen Ken (Movie),Adventure,Dec 21 1963,1,188,13614,13435,5.63
23007,Ookami Shounen Ken (Movie),Kids,Dec 21 1963,1,188,13614,13435,5.63
23009,Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou,Adventure,Mar 22 1964,1,196,13471,13436,5.68
23009,Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou,Kids,Mar 22 1964,1,196,13471,13436,5.68
23011,Otoko Doahou! Koushien,Action,Sep 28 1970 to Mar 27 1971,156,257,12586,13465,6.24
23011,Otoko Doahou! Koushien,Sports,Sep 28 1970 to Mar 27 1971,156,257,12586,13465,6.24
23013,Norakuro,Comedy,Oct 5 1970 to Mar 29 1971,26,256,12597,13325,5.57
23015,Hazedon,Kids,Oct 5 1972 to Mar 29 1973,26,159,14154,12238,5.8
23015,Hazedon,Adventure,Oct 5 1972 to Mar 29 1973,26,159,14154,12238,5.8
23015,Hazedon,Comedy,Oct 5 1972 to Mar 29 1973,26,159,14154,12238,5.8
23023,Peaceful Times (F02) Petit Film,Music,Nov 23 2013,1,3017,7004,11009,4.89
23029,Popful Mail,Comedy,1994,1,309,12065,8597,5.92
23029,Popful Mail,Fantasy,1994,1,309,12065,8597,5.92
23029,Popful Mail,Music,1994,1,309,12065,8597,5.92
23031,Ashita no Kibou: Kanashimi yo Arigatou - Takae Tsuneo Monogatari,Drama,Feb 23 2013,1,275,12380,11576,6.3
23031,Ashita no Kibou: Kanashimi yo Arigatou - Takae Tsuneo Monogatari,SliceofLife,Feb 23 2013,1,275,12380,11576,6.3
23033,Furueru Kuchibiru,Hentai,Apr 25 2014,1,8648,4618,,6.81
23037,Bakumatsu Rock,Action,Jul 2 2014 to Sep 17 2014,12,23837,2927,7918,6.11
23037,Bakumatsu Rock,Music,Jul 2 2014 to Sep 17 2014,12,23837,2927,7918,6.11
23037,Bakumatsu Rock,Comedy,Jul 2 2014 to Sep 17 2014,12,23837,2927,7918,6.11
23037,Bakumatsu Rock,Historical,Jul 2 2014 to Sep 17 2014,12,23837,2927,7918,6.11
23037,Bakumatsu Rock,Shoujo,Jul 2 2014 to Sep 17 2014,12,23837,2927,7918,6.11
23043,Re Boot,Drama,Dec 13 2012,1,2743,7201,3397,7.1
23043,Re Boot,Music,Dec 13 2012,1,2743,7201,3397,7.1
23043,Re Boot,School,Dec 13 2012,1,2743,7201,3397,7.1
23043,Re Boot,SliceofLife,Dec 13 2012,1,2743,7201,3397,7.1
23047,Tennen Koi-iro Alcohol,Hentai,May 30 2014 to Sep 12 2014,2,5872,5397,,6.92
23051,Ga no Iru Tokoro,Dementia,2001,1,652,10420,11331,4.36
23053,Nisou no Kuzu,Psychological,2004,1,540,10820,10931,4.96
23055,Kangaeru Renshuu,Dementia,2003,1,399,11509,11375,4.18
23057,Yukidoke,Dementia,2004,1,2305,7621,11389,4.03
23057,Yukidoke,Horror,2004,1,2305,7621,11389,4.03
23059,Shinsatsushitsu,Dementia,2005,1,1119,9300,11320,4.39
23059,Shinsatsushitsu,Horror,2005,1,1119,9300,11320,4.39
23061,Heya/Keitai,Fantasy,01-01-1999 00:00,1,589,10632,9379,5.67
23061,Heya/Keitai,Music,01-01-1999 00:00,1,589,10632,9379,5.67
23063,Usagi ga Kowai,Game,2002,1,1135,9272,11222,4.64
23063,Usagi ga Kowai,Dementia,2002,1,1135,9272,11222,4.64
23063,Usagi ga Kowai,Horror,2002,1,1135,9272,11222,4.64
23065,Kaidan,Supernatural,2003,1,526,10888,10913,4.97
23067,Tenkai Knights,Action,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,Adventure,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,Comedy,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,Kids,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,Mecha,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,Sci-Fi,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,Shounen,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23067,Tenkai Knights,SuperPower,Apr 5 2014 to Mar 28 2015,52,2356,7567,5601,6.6
23079,Glasslip,Romance,Jul 3 2014 to Sep 25 2014,13,130085,869,9837,5.52
23079,Glasslip,SliceofLife,Jul 3 2014 to Sep 25 2014,13,130085,869,9837,5.52
23079,Glasslip,Supernatural,Jul 3 2014 to Sep 25 2014,13,130085,869,9837,5.52
23083,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,Kids,Oct 11 2014,1,2332,7586,3224,7.14
23083,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,Fantasy,Oct 11 2014,1,2332,7586,3224,7.14
23083,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,Magic,Oct 11 2014,1,2332,7586,3224,7.14
23083,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,Shoujo,Oct 11 2014,1,2332,7586,3224,7.14
23085,Kikansha Sensei,Comedy,Mar 29 1997,1,179,13792,12682,5.92
23085,Kikansha Sensei,School,Mar 29 1997,1,179,13792,12682,5.92
23085,Kikansha Sensei,SliceofLife,Mar 29 1997,1,179,13792,12682,5.92
23089,Ponsuke no Haru,Comedy,Aug 1 1934,1,339,11873,10230,5.38
23089,Ponsuke no Haru,Kids,Aug 1 1934,1,339,11873,10230,5.38
23097,Kousagi Monogatari,Comedy,01-03-1954 00:00,1,167,14012,12803,6.23
23097,Kousagi Monogatari,Kids,01-03-1954 00:00,1,167,14012,12803,6.23
23099,Puchitto Gargantia Special,Comedy,Sep 25 2013,1,2527,7398,8124,6.07
23099,Puchitto Gargantia Special,Mecha,Sep 25 2013,1,2527,7398,8124,6.07
23099,Puchitto Gargantia Special,Sci-Fi,Sep 25 2013,1,2527,7398,8124,6.07
23101,Kuraibito,Hentai,Jun 27 2014,1,4317,6099,,6.29
23107,GO-GO Tamagotchi!,Comedy,Apr 3 2014 to Mar 26 2015,50,402,11502,6643,6.38
23107,GO-GO Tamagotchi!,Fantasy,Apr 3 2014 to Mar 26 2015,50,402,11502,6643,6.38
23107,GO-GO Tamagotchi!,Kids,Apr 3 2014 to Mar 26 2015,50,402,11502,6643,6.38
23115,Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru,Mystery,Mar 21 2014,1,6429,5196,4333,6.86
23115,Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru,Comedy,Mar 21 2014,1,6429,5196,4333,6.86
23115,Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru,SuperPower,Mar 21 2014,1,6429,5196,4333,6.86
23121,Jinsei,Comedy,Jul 6 2014 to Sep 28 2014,13,54303,1792,5927,6.53
23121,Jinsei,School,Jul 6 2014 to Sep 28 2014,13,54303,1792,5927,6.53
23121,Jinsei,SliceofLife,Jul 6 2014 to Sep 28 2014,13,54303,1792,5927,6.53
23125,Histoire d'Etty,Kids,Oct 13 2007,1,133,14626,12311,6.63
23125,Histoire d'Etty,SliceofLife,Oct 13 2007,1,133,14626,12311,6.63
23129,Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special,Magic,Jan 21 1987,1,347,11808,8920,5.82
23129,Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special,Music,Jan 21 1987,1,347,11808,8920,5.82
23129,Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special,Shoujo,Jan 21 1987,1,347,11808,8920,5.82
23133,M3: Sono Kuroki Hagane,Action,Apr 22 2014 to Sep 30 2014,24,48768,1932,5294,6.66
23133,M3: Sono Kuroki Hagane,Sci-Fi,Apr 22 2014 to Sep 30 2014,24,48768,1932,5294,6.66
23133,M3: Sono Kuroki Hagane,Mystery,Apr 22 2014 to Sep 30 2014,24,48768,1932,5294,6.66
23133,M3: Sono Kuroki Hagane,Psychological,Apr 22 2014 to Sep 30 2014,24,48768,1932,5294,6.66
23133,M3: Sono Kuroki Hagane,Drama,Apr 22 2014 to Sep 30 2014,24,48768,1932,5294,6.66
23133,M3: Sono Kuroki Hagane,Mecha,Apr 22 2014 to Sep 30 2014,24,48768,1932,5294,6.66
23135,PriPara,Music,Jul 5 2014 to Mar 28 2017,140,13760,3809,1496,7.58
23135,PriPara,SliceofLife,Jul 5 2014 to Mar 28 2017,140,13760,3809,1496,7.58
23135,PriPara,School,Jul 5 2014 to Mar 28 2017,140,13760,3809,1496,7.58
23135,PriPara,Shoujo,Jul 5 2014 to Mar 28 2017,140,13760,3809,1496,7.58
23137,Girls & Panzer Heartful Tank Disc Picture Drama,Military,Sep 25 2013,4,4012,6289,5281,6.66
23137,Girls & Panzer Heartful Tank Disc Picture Drama,School,Sep 25 2013,4,4012,6289,5281,6.66
23149,47 Todoufuken R,Comedy,Jan 11 2014 to Mar 29 2014,12,288,12265,8230,6.03
23149,47 Todoufuken R,Kids,Jan 11 2014 to Mar 29 2014,12,288,12265,8230,6.03
23151,Shounen Hollywood: Holly Stage for 49,Music,Jul 6 2014 to Sep 27 2014,13,13059,3875,7810,6.14
23151,Shounen Hollywood: Holly Stage for 49,SliceofLife,Jul 6 2014 to Sep 27 2014,13,13059,3875,7810,6.14
23151,Shounen Hollywood: Holly Stage for 49,Shoujo,Jul 6 2014 to Sep 27 2014,13,13059,3875,7810,6.14
23153,Hayate no Gotoku! OVA,Romance,Jun 18 2014 to Dec 16 2014,3,9557,4425,2915,7.21
23153,Hayate no Gotoku! OVA,Comedy,Jun 18 2014 to Dec 16 2014,3,9557,4425,2915,7.21
23153,Hayate no Gotoku! OVA,Harem,Jun 18 2014 to Dec 16 2014,3,9557,4425,2915,7.21
23153,Hayate no Gotoku! OVA,Parody,Jun 18 2014 to Dec 16 2014,3,9557,4425,2915,7.21
23153,Hayate no Gotoku! OVA,Shounen,Jun 18 2014 to Dec 16 2014,3,9557,4425,2915,7.21
23157,Kaze no Invitation,Magic,1999,1,401,11473,10137,5.41
23157,Kaze no Invitation,Music,1999,1,401,11473,10137,5.41
23171,Mahou Shoujo wa Kiss Shite Kawaru,Hentai,Aug 22 2014,1,1747,8264,,5
23177,Piano (TV) Specials,Music,Jan 24 2003 to Apr 25 2003,4,451,11225,9874,5.51
23177,Piano (TV) Specials,SliceofLife,Jan 24 2003 to Apr 25 2003,4,451,11225,9874,5.51
23177,Piano (TV) Specials,Drama,Jan 24 2003 to Apr 25 2003,4,451,11225,9874,5.51
23177,Piano (TV) Specials,Romance,Jan 24 2003 to Apr 25 2003,4,451,11225,9874,5.51
23177,Piano (TV) Specials,Shoujo,Jan 24 2003 to Apr 25 2003,4,451,11225,9874,5.51
23179,Kyoukai no Rinne,Comedy,Oct 3 2009,1,4477,6019,7198,6.27
23179,Kyoukai no Rinne,Supernatural,Oct 3 2009,1,4477,6019,7198,6.27
23181,Otogi Banashi: Bunbuku Chagama,Kids,Oct 10 1917,1,196,13472,13463,6.17
23183,Itazura Post,Comedy,Jul 28 1917,1,232,12887,12441,6.37
23185,Chamebou Kuukijuu no Maki,Comedy,Aug 11 1917,1,215,13134,11725,6.5
23187,Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,Comedy,Apr 28 1917,1,224,12987,11726,5.85
23189,Dekobou Shingachou: Meian no Shippai,Comedy,01-02-2017 00:00,1,403,11501,6902,6.33
23191,Chokin no Susume,Comedy,Oct 7 1917,1,232,12923,11793,6.57
23199,Durarara!!x2 Shou,Action,Jan 10 2015 to Mar 28 2015,12,319956,305,465,8.08
23199,Durarara!!x2 Shou,Mystery,Jan 10 2015 to Mar 28 2015,12,319956,305,465,8.08
23199,Durarara!!x2 Shou,Supernatural,Jan 10 2015 to Mar 28 2015,12,319956,305,465,8.08
23201,Sengoku Basara: Judge End,Action,Jul 6 2014 to Sep 28 2014,12,21134,3109,4109,6.92
23201,Sengoku Basara: Judge End,SuperPower,Jul 6 2014 to Sep 28 2014,12,21134,3109,4109,6.92
23201,Sengoku Basara: Judge End,MartialArts,Jul 6 2014 to Sep 28 2014,12,21134,3109,4109,6.92
23201,Sengoku Basara: Judge End,Samurai,Jul 6 2014 to Sep 28 2014,12,21134,3109,4109,6.92
23201,Sengoku Basara: Judge End,Historical,Jul 6 2014 to Sep 28 2014,12,21134,3109,4109,6.92
