anime_id,title,genre,aired,episodes,members,popularity,ranked,score
23277,Saenai Heroine no Sodatekata,Comedy,Jan 16 2015 to Mar 27 2015,12,339978,284,1396,7.61
23277,Saenai Heroine no Sodatekata,Romance,Jan 16 2015 to Mar 27 2015,12,339978,284,1396,7.61
23277,Saenai Heroine no Sodatekata,Ecchi,Jan 16 2015 to Mar 27 2015,12,339978,284,1396,7.61
23277,Saenai Heroine no Sodatekata,School,Jan 16 2015 to Mar 27 2015,12,339978,284,1396,7.61
23279,Gyakusatsu Kikan,Military,Feb 3 2017,1,32366,2459,2819,7.23
23279,Gyakusatsu Kikan,Sci-Fi,Feb 3 2017,1,32366,2459,2819,7.23
23279,Gyakusatsu Kikan,Psychological,Feb 3 2017,1,32366,2459,2819,7.23
23281,Psycho-Pass 2,Action,Oct 10 2014 to Dec 19 2014,11,407960,203,1764,7.49
23281,Psycho-Pass 2,Sci-Fi,Oct 10 2014 to Dec 19 2014,11,407960,203,1764,7.49
23281,Psycho-Pass 2,Police,Oct 10 2014 to Dec 19 2014,11,407960,203,1764,7.49
23281,Psycho-Pass 2,Psychological,Oct 10 2014 to Dec 19 2014,11,407960,203,1764,7.49
23283,Zankyou no Terror,Mystery,Jul 11 2014 to Sep 26 2014,11,642866,84,363,8.17
23283,Zankyou no Terror,Psychological,Jul 11 2014 to Sep 26 2014,11,642866,84,363,8.17
23283,Zankyou no Terror,Thriller,Jul 11 2014 to Sep 26 2014,11,642866,84,363,8.17
23285,Paulette no Isu,SliceofLife,Mar 21 2014,1,6907,5049,3476,7.08
23285,Paulette no Isu,Comedy,Mar 21 2014,1,6907,5049,3476,7.08
23285,Paulette no Isu,Kids,Mar 21 2014,1,6907,5049,3476,7.08
23289,Gekkan Shoujo Nozaki-kun,Comedy,Jul 7 2014 to Sep 22 2014,12,519868,123,467,8.08
23289,Gekkan Shoujo Nozaki-kun,Romance,Jul 7 2014 to Sep 22 2014,12,519868,123,467,8.08
23289,Gekkan Shoujo Nozaki-kun,School,Jul 7 2014 to Sep 22 2014,12,519868,123,467,8.08
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,Action,Mar 27 2014,1,4778,5867,5400,6.64
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,Adventure,Mar 27 2014,1,4778,5867,5400,6.64
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,Comedy,Mar 27 2014,1,4778,5867,5400,6.64
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,Fantasy,Mar 27 2014,1,4778,5867,5400,6.64
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,Kids,Mar 27 2014,1,4778,5867,5400,6.64
23301,Pokemon XY: Mega Evolution,Action,Apr 3 2014 to Oct 29 2015,4,18457,3329,1595,7.54
23301,Pokemon XY: Mega Evolution,Adventure,Apr 3 2014 to Oct 29 2015,4,18457,3329,1595,7.54
23301,Pokemon XY: Mega Evolution,Comedy,Apr 3 2014 to Oct 29 2015,4,18457,3329,1595,7.54
23301,Pokemon XY: Mega Evolution,Kids,Apr 3 2014 to Oct 29 2015,4,18457,3329,1595,7.54
23301,Pokemon XY: Mega Evolution,Fantasy,Apr 3 2014 to Oct 29 2015,4,18457,3329,1595,7.54
23303,Hiroshima e no Tabi,Drama,Jul 20 1994,1,269,12465,8183,6.05
23303,Hiroshima e no Tabi,Historical,Jul 20 1994,1,269,12465,8183,6.05
23303,Hiroshima e no Tabi,SliceofLife,Jul 20 1994,1,269,12465,8183,6.05
23305,Shin Sei Yariman Gakuen Enkou Nikki The Animation,Hentai,Jun 27 2014,1,4776,5874,,6.65
23309,Rail Wars!,Action,Jul 4 2014 to Sep 19 2014,12,135279,833,6312,6.45
